Date;Visitor;PTS_visitor;Home;PTS_home;OT
Tue Oct 16 2018;Philadelphia 76ers;87;Boston Celtics;105;
Tue Oct 16 2018;Oklahoma City Thunder;100;Golden State Warriors;108;
Wed Oct 17 2018;Milwaukee Bucks;113;Charlotte Hornets;112;
Wed Oct 17 2018;Brooklyn Nets;100;Detroit Pistons;103;
Wed Oct 17 2018;New Orleans Pelicans;131;Houston Rockets;112;
Wed Oct 17 2018;Memphis Grizzlies;83;Indiana Pacers;111;
Wed Oct 17 2018;Denver Nuggets;107;Los Angeles Clippers;98;
Wed Oct 17 2018;Atlanta Hawks;107;New York Knicks;126;
Wed Oct 17 2018;Miami Heat;101;Orlando Magic;104;
Wed Oct 17 2018;Dallas Mavericks;100;Phoenix Suns;121;
Wed Oct 17 2018;Utah Jazz;123;Sacramento Kings;117;
Wed Oct 17 2018;Minnesota Timberwolves;108;San Antonio Spurs;112;
Wed Oct 17 2018;Cleveland Cavaliers;104;Toronto Raptors;116;
Thu Oct 18 2018;Chicago Bulls;108;Philadelphia 76ers;127;
Thu Oct 18 2018;Los Angeles Lakers;119;Portland Trail Blazers;128;
Thu Oct 18 2018;Miami Heat;113;Washington Wizards;112;
Fri Oct 19 2018;New York Knicks;105;Brooklyn Nets;107;
Fri Oct 19 2018;Oklahoma City Thunder;92;Los Angeles Clippers;108;
Fri Oct 19 2018;Atlanta Hawks;117;Memphis Grizzlies;131;
Fri Oct 19 2018;Indiana Pacers;101;Milwaukee Bucks;118;
Fri Oct 19 2018;Cleveland Cavaliers;123;Minnesota Timberwolves;131;
Fri Oct 19 2018;Sacramento Kings;129;New Orleans Pelicans;149;
Fri Oct 19 2018;Charlotte Hornets;120;Orlando Magic;88;
Fri Oct 19 2018;Boston Celtics;101;Toronto Raptors;113;
Fri Oct 19 2018;Golden State Warriors;124;Utah Jazz;123;
Sat Oct 20 2018;Detroit Pistons;118;Chicago Bulls;116;
Sat Oct 20 2018;Minnesota Timberwolves;136;Dallas Mavericks;140;
Sat Oct 20 2018;Phoenix Suns;91;Denver Nuggets;119;
Sat Oct 20 2018;Brooklyn Nets;112;Indiana Pacers;132;
Sat Oct 20 2018;Houston Rockets;124;Los Angeles Lakers;115;
Sat Oct 20 2018;Charlotte Hornets;113;Miami Heat;112;
Sat Oct 20 2018;Boston Celtics;103;New York Knicks;101;
Sat Oct 20 2018;Orlando Magic;115;Philadelphia 76ers;116;
Sat Oct 20 2018;San Antonio Spurs;108;Portland Trail Blazers;121;
Sat Oct 20 2018;Toronto Raptors;117;Washington Wizards;113;
Sun Oct 21 2018;Atlanta Hawks;133;Cleveland Cavaliers;111;
Sun Oct 21 2018;Golden State Warriors;98;Denver Nuggets;100;
Sun Oct 21 2018;Houston Rockets;112;Los Angeles Clippers;115;
Sun Oct 21 2018;Sacramento Kings;131;Oklahoma City Thunder;120;
Mon Oct 22 2018;Orlando Magic;93;Boston Celtics;90;
Mon Oct 22 2018;Chicago Bulls;109;Dallas Mavericks;115;
Mon Oct 22 2018;Phoenix Suns;103;Golden State Warriors;123;
Mon Oct 22 2018;San Antonio Spurs;143;Los Angeles Lakers;142;OT
Mon Oct 22 2018;New York Knicks;113;Milwaukee Bucks;124;
Mon Oct 22 2018;Indiana Pacers;91;Minnesota Timberwolves;101;
Mon Oct 22 2018;Washington Wizards;125;Portland Trail Blazers;124;OT
Mon Oct 22 2018;Charlotte Hornets;106;Toronto Raptors;127;
Mon Oct 22 2018;Memphis Grizzlies;92;Utah Jazz;84;
Tue Oct 23 2018;Sacramento Kings;112;Denver Nuggets;126;
Tue Oct 23 2018;Philadelphia 76ers;132;Detroit Pistons;133;OT
Tue Oct 23 2018;Los Angeles Clippers;109;New Orleans Pelicans;116;
Wed Oct 24 2018;Dallas Mavericks;104;Atlanta Hawks;111;
Wed Oct 24 2018;Charlotte Hornets;110;Chicago Bulls;112;
Wed Oct 24 2018;Brooklyn Nets;102;Cleveland Cavaliers;86;
Wed Oct 24 2018;Washington Wizards;122;Golden State Warriors;144;
Wed Oct 24 2018;Utah Jazz;100;Houston Rockets;89;
Wed Oct 24 2018;New York Knicks;87;Miami Heat;110;
Wed Oct 24 2018;Philadelphia 76ers;108;Milwaukee Bucks;123;
Wed Oct 24 2018;Los Angeles Lakers;131;Phoenix Suns;113;
Wed Oct 24 2018;Memphis Grizzlies;92;Sacramento Kings;97;
Wed Oct 24 2018;Indiana Pacers;116;San Antonio Spurs;96;
Wed Oct 24 2018;Minnesota Timberwolves;105;Toronto Raptors;112;
Thu Oct 25 2018;Cleveland Cavaliers;103;Detroit Pistons;110;
Thu Oct 25 2018;Denver Nuggets;114;Los Angeles Lakers;121;
Thu Oct 25 2018;Boston Celtics;101;Oklahoma City Thunder;95;
Thu Oct 25 2018;Portland Trail Blazers;128;Orlando Magic;114;
Fri Oct 26 2018;Chicago Bulls;106;Charlotte Hornets;135;
Fri Oct 26 2018;Los Angeles Clippers;133;Houston Rockets;113;
Fri Oct 26 2018;Milwaukee Bucks;125;Minnesota Timberwolves;95;
Fri Oct 26 2018;Brooklyn Nets;115;New Orleans Pelicans;117;
Fri Oct 26 2018;Golden State Warriors;128;New York Knicks;100;
Fri Oct 26 2018;Washington Wizards;112;Sacramento Kings;116;
Fri Oct 26 2018;Dallas Mavericks;107;Toronto Raptors;116;
Sat Oct 27 2018;Chicago Bulls;97;Atlanta Hawks;85;
Sat Oct 27 2018;Indiana Pacers;119;Cleveland Cavaliers;107;
Sat Oct 27 2018;Boston Celtics;109;Detroit Pistons;89;
Sat Oct 27 2018;Phoenix Suns;96;Memphis Grizzlies;117;
Sat Oct 27 2018;Portland Trail Blazers;111;Miami Heat;120;
Sat Oct 27 2018;Orlando Magic;91;Milwaukee Bucks;113;
Sat Oct 27 2018;Utah Jazz;132;New Orleans Pelicans;111;
Sat Oct 27 2018;Charlotte Hornets;103;Philadelphia 76ers;105;
Sat Oct 27 2018;Los Angeles Lakers;106;San Antonio Spurs;110;
Sun Oct 28 2018;Golden State Warriors;120;Brooklyn Nets;114;
Sun Oct 28 2018;Utah Jazz;113;Dallas Mavericks;104;
Sun Oct 28 2018;Washington Wizards;104;Los Angeles Clippers;136;
Sun Oct 28 2018;Phoenix Suns;110;Oklahoma City Thunder;117;
Mon Oct 29 2018;Golden State Warriors;149;Chicago Bulls;124;
Mon Oct 29 2018;New Orleans Pelicans;111;Denver Nuggets;116;
Mon Oct 29 2018;Portland Trail Blazers;103;Indiana Pacers;93;
Mon Oct 29 2018;Sacramento Kings;123;Miami Heat;113;
Mon Oct 29 2018;Toronto Raptors;109;Milwaukee Bucks;124;
Mon Oct 29 2018;Los Angeles Lakers;120;Minnesota Timberwolves;124;
Mon Oct 29 2018;Brooklyn Nets;96;New York Knicks;115;
Mon Oct 29 2018;Atlanta Hawks;92;Philadelphia 76ers;113;
Mon Oct 29 2018;Dallas Mavericks;108;San Antonio Spurs;113;OT
Tue Oct 30 2018;Detroit Pistons;105;Boston Celtics;108;
Tue Oct 30 2018;Miami Heat;113;Charlotte Hornets;125;
Tue Oct 30 2018;Atlanta Hawks;114;Cleveland Cavaliers;136;
Tue Oct 30 2018;Portland Trail Blazers;104;Houston Rockets;85;
Tue Oct 30 2018;Washington Wizards;95;Memphis Grizzlies;107;
Tue Oct 30 2018;Los Angeles Clippers;110;Oklahoma City Thunder;128;
Tue Oct 30 2018;Sacramento Kings;107;Orlando Magic;99;
Tue Oct 30 2018;Philadelphia 76ers;112;Toronto Raptors;129;
Wed Oct 31 2018;Detroit Pistons;119;Brooklyn Nets;120;OT
Wed Oct 31 2018;Denver Nuggets;108;Chicago Bulls;107;OT
Wed Oct 31 2018;New Orleans Pelicans;121;Golden State Warriors;131;
Wed Oct 31 2018;Dallas Mavericks;113;Los Angeles Lakers;114;
Wed Oct 31 2018;Utah Jazz;125;Minnesota Timberwolves;128;
Wed Oct 31 2018;Indiana Pacers;107;New York Knicks;101;
Wed Oct 31 2018;San Antonio Spurs;120;Phoenix Suns;90;
Thu Nov 1 2018;Sacramento Kings;146;Atlanta Hawks;115;
Thu Nov 1 2018;Milwaukee Bucks;113;Boston Celtics;117;
Thu Nov 1 2018;Oklahoma City Thunder;111;Charlotte Hornets;107;
Thu Nov 1 2018;Denver Nuggets;110;Cleveland Cavaliers;91;
Thu Nov 1 2018;Los Angeles Clippers;113;Philadelphia 76ers;122;
Thu Nov 1 2018;New Orleans Pelicans;119;Portland Trail Blazers;132;
Fri Nov 2 2018;Houston Rockets;119;Brooklyn Nets;111;
Fri Nov 2 2018;Indiana Pacers;107;Chicago Bulls;105;
Fri Nov 2 2018;New York Knicks;118;Dallas Mavericks;106;
Fri Nov 2 2018;Minnesota Timberwolves;99;Golden State Warriors;116;
Fri Nov 2 2018;Los Angeles Clippers;120;Orlando Magic;95;
Fri Nov 2 2018;Toronto Raptors;107;Phoenix Suns;98;
Fri Nov 2 2018;Memphis Grizzlies;110;Utah Jazz;100;
Fri Nov 2 2018;Oklahoma City Thunder;134;Washington Wizards;111;
Sat Nov 3 2018;Miami Heat;118;Atlanta Hawks;123;
Sat Nov 3 2018;Houston Rockets;96;Chicago Bulls;88;
Sat Nov 3 2018;Cleveland Cavaliers;94;Charlotte Hornets;126;
Sat Nov 3 2018;Utah Jazz;88;Denver Nuggets;103;
Sat Nov 3 2018;Boston Celtics;101;Indiana Pacers;102;
Sat Nov 3 2018;Detroit Pistons;99;Philadelphia 76ers;109;
Sat Nov 3 2018;Los Angeles Lakers;114;Portland Trail Blazers;110;
Sat Nov 3 2018;New Orleans Pelicans;95;San Antonio Spurs;109;
Sun Nov 4 2018;Philadelphia 76ers;97;Brooklyn Nets;122;
Sun Nov 4 2018;Toronto Raptors;121;Los Angeles Lakers;107;
Sun Nov 4 2018;Sacramento Kings;109;Milwaukee Bucks;144;
Sun Nov 4 2018;Memphis Grizzlies;100;Phoenix Suns;102;
Sun Nov 4 2018;Minnesota Timberwolves;81;Portland Trail Blazers;111;
Sun Nov 4 2018;Orlando Magic;117;San Antonio Spurs;110;
Sun Nov 4 2018;New York Knicks;95;Washington Wizards;108;
Mon Nov 5 2018;Boston Celtics;107;Denver Nuggets;115;
Mon Nov 5 2018;Miami Heat;120;Detroit Pistons;115;OT
Mon Nov 5 2018;Memphis Grizzlies;101;Golden State Warriors;117;
Mon Nov 5 2018;Houston Rockets;98;Indiana Pacers;94;
Mon Nov 5 2018;Minnesota Timberwolves;109;Los Angeles Clippers;120;
Mon Nov 5 2018;Chicago Bulls;116;New York Knicks;115;2OT
Mon Nov 5 2018;New Orleans Pelicans;116;Oklahoma City Thunder;122;
Mon Nov 5 2018;Cleveland Cavaliers;100;Orlando Magic;102;
Mon Nov 5 2018;Toronto Raptors;124;Utah Jazz;111;
Tue Nov 6 2018;Atlanta Hawks;102;Charlotte Hornets;113;
Tue Nov 6 2018;Washington Wizards;100;Dallas Mavericks;119;
Tue Nov 6 2018;Brooklyn Nets;104;Phoenix Suns;82;
Tue Nov 6 2018;Milwaukee Bucks;103;Portland Trail Blazers;118;
Wed Nov 7 2018;New York Knicks;112;Atlanta Hawks;107;
Wed Nov 7 2018;Oklahoma City Thunder;95;Cleveland Cavaliers;86;
Wed Nov 7 2018;Philadelphia 76ers;100;Indiana Pacers;94;
Wed Nov 7 2018;Minnesota Timberwolves;110;Los Angeles Lakers;114;
Wed Nov 7 2018;Denver Nuggets;87;Memphis Grizzlies;89;
Wed Nov 7 2018;San Antonio Spurs;88;Miami Heat;95;
Wed Nov 7 2018;Chicago Bulls;98;New Orleans Pelicans;107;
Wed Nov 7 2018;Detroit Pistons;103;Orlando Magic;96;
Wed Nov 7 2018;Toronto Raptors;114;Sacramento Kings;105;
Wed Nov 7 2018;Dallas Mavericks;102;Utah Jazz;117;
Thu Nov 8 2018;Milwaukee Bucks;134;Golden State Warriors;111;
Thu Nov 8 2018;Houston Rockets;80;Oklahoma City Thunder;98;
Thu Nov 8 2018;Boston Celtics;116;Phoenix Suns;109;OT
Thu Nov 8 2018;Los Angeles Clippers;105;Portland Trail Blazers;116;
Fri Nov 9 2018;Detroit Pistons;124;Atlanta Hawks;109;
Fri Nov 9 2018;Brooklyn Nets;112;Denver Nuggets;110;
Fri Nov 9 2018;Indiana Pacers;110;Miami Heat;102;
Fri Nov 9 2018;Washington Wizards;108;Orlando Magic;117;
Fri Nov 9 2018;Charlotte Hornets;132;Philadelphia 76ers;133;OT
Fri Nov 9 2018;Minnesota Timberwolves;110;Sacramento Kings;121;
Fri Nov 9 2018;Boston Celtics;115;Utah Jazz;123;
Sat Nov 10 2018;Cleveland Cavaliers;98;Chicago Bulls;99;
Sat Nov 10 2018;Oklahoma City Thunder;96;Dallas Mavericks;111;
Sat Nov 10 2018;Brooklyn Nets;100;Golden State Warriors;116;
Sat Nov 10 2018;Milwaukee Bucks;126;Los Angeles Clippers;128;OT
Sat Nov 10 2018;Philadelphia 76ers;106;Memphis Grizzlies;112;OT
Sat Nov 10 2018;Washington Wizards;116;Miami Heat;110;
Sat Nov 10 2018;Phoenix Suns;99;New Orleans Pelicans;119;
Sat Nov 10 2018;Los Angeles Lakers;101;Sacramento Kings;86;
Sat Nov 10 2018;Houston Rockets;89;San Antonio Spurs;96;
Sat Nov 10 2018;New York Knicks;112;Toronto Raptors;128;
Sun Nov 11 2018;Milwaukee Bucks;121;Denver Nuggets;114;
Sun Nov 11 2018;Charlotte Hornets;113;Detroit Pistons;103;
Sun Nov 11 2018;Indiana Pacers;103;Houston Rockets;115;
Sun Nov 11 2018;Atlanta Hawks;106;Los Angeles Lakers;107;
Sun Nov 11 2018;Orlando Magic;115;New York Knicks;89;
Sun Nov 11 2018;Boston Celtics;94;Portland Trail Blazers;100;
Mon Nov 12 2018;Dallas Mavericks;103;Chicago Bulls;98;
Mon Nov 12 2018;Golden State Warriors;116;Los Angeles Clippers;121;OT
Mon Nov 12 2018;Utah Jazz;96;Memphis Grizzlies;88;
Mon Nov 12 2018;Philadelphia 76ers;124;Miami Heat;114;
Mon Nov 12 2018;Brooklyn Nets;113;Minnesota Timberwolves;120;
Mon Nov 12 2018;Phoenix Suns;101;Oklahoma City Thunder;118;
Mon Nov 12 2018;San Antonio Spurs;99;Sacramento Kings;104;
Mon Nov 12 2018;New Orleans Pelicans;126;Toronto Raptors;110;
Mon Nov 12 2018;Orlando Magic;109;Washington Wizards;117;
Tue Nov 13 2018;Charlotte Hornets;89;Cleveland Cavaliers;113;
Tue Nov 13 2018;Houston Rockets;109;Denver Nuggets;99;
Tue Nov 13 2018;Atlanta Hawks;103;Golden State Warriors;110;
Wed Nov 14 2018;Chicago Bulls;82;Boston Celtics;111;
Wed Nov 14 2018;Miami Heat;120;Brooklyn Nets;107;
Wed Nov 14 2018;Utah Jazz;68;Dallas Mavericks;118;
Wed Nov 14 2018;Portland Trail Blazers;117;Los Angeles Lakers;126;
Wed Nov 14 2018;Memphis Grizzlies;116;Milwaukee Bucks;113;
Wed Nov 14 2018;New Orleans Pelicans;100;Minnesota Timberwolves;107;
Wed Nov 14 2018;New York Knicks;103;Oklahoma City Thunder;128;
Wed Nov 14 2018;Philadelphia 76ers;106;Orlando Magic;111;
Wed Nov 14 2018;San Antonio Spurs;96;Phoenix Suns;116;
Wed Nov 14 2018;Detroit Pistons;106;Toronto Raptors;104;
Wed Nov 14 2018;Cleveland Cavaliers;95;Washington Wizards;119;
Thu Nov 15 2018;Atlanta Hawks;93;Denver Nuggets;138;
Thu Nov 15 2018;Golden State Warriors;86;Houston Rockets;107;
Thu Nov 15 2018;San Antonio Spurs;111;Los Angeles Clippers;116;
Fri Nov 16 2018;Toronto Raptors;116;Boston Celtics;123;OT
Fri Nov 16 2018;Miami Heat;91;Indiana Pacers;99;
Fri Nov 16 2018;Sacramento Kings;104;Memphis Grizzlies;112;
Fri Nov 16 2018;Chicago Bulls;104;Milwaukee Bucks;123;
Fri Nov 16 2018;Portland Trail Blazers;96;Minnesota Timberwolves;112;
Fri Nov 16 2018;New York Knicks;124;New Orleans Pelicans;129;
Fri Nov 16 2018;Utah Jazz;107;Philadelphia 76ers;113;
Fri Nov 16 2018;Brooklyn Nets;115;Washington Wizards;104;
Sat Nov 17 2018;Utah Jazz;98;Boston Celtics;86;
Sat Nov 17 2018;Los Angeles Clippers;127;Brooklyn Nets;119;
Sat Nov 17 2018;Toronto Raptors;122;Chicago Bulls;83;
Sat Nov 17 2018;Philadelphia 76ers;122;Charlotte Hornets;119;OT
Sat Nov 17 2018;Golden State Warriors;109;Dallas Mavericks;112;
Sat Nov 17 2018;Sacramento Kings;112;Houston Rockets;132;
Sat Nov 17 2018;Atlanta Hawks;89;Indiana Pacers;97;
Sat Nov 17 2018;Denver Nuggets;115;New Orleans Pelicans;125;
Sat Nov 17 2018;Los Angeles Lakers;117;Orlando Magic;130;
Sat Nov 17 2018;Oklahoma City Thunder;110;Phoenix Suns;100;
Sun Nov 18 2018;Los Angeles Lakers;113;Miami Heat;97;
Sun Nov 18 2018;Memphis Grizzlies;100;Minnesota Timberwolves;87;
Sun Nov 18 2018;New York Knicks;117;Orlando Magic;131;
Sun Nov 18 2018;Golden State Warriors;92;San Antonio Spurs;104;
Sun Nov 18 2018;Portland Trail Blazers;119;Washington Wizards;109;
Mon Nov 19 2018;Los Angeles Clippers;127;Atlanta Hawks;119;
Mon Nov 19 2018;Boston Celtics;112;Charlotte Hornets;117;
Mon Nov 19 2018;Cleveland Cavaliers;102;Detroit Pistons;113;
Mon Nov 19 2018;Utah Jazz;94;Indiana Pacers;121;
Mon Nov 19 2018;Dallas Mavericks;88;Memphis Grizzlies;98;
Mon Nov 19 2018;Denver Nuggets;98;Milwaukee Bucks;104;
Mon Nov 19 2018;San Antonio Spurs;126;New Orleans Pelicans;140;
Mon Nov 19 2018;Phoenix Suns;114;Philadelphia 76ers;119;
Mon Nov 19 2018;Oklahoma City Thunder;113;Sacramento Kings;117;
Tue Nov 20 2018;Brooklyn Nets;104;Miami Heat;92;
Tue Nov 20 2018;Portland Trail Blazers;118;New York Knicks;114;
Tue Nov 20 2018;Toronto Raptors;93;Orlando Magic;91;
Tue Nov 20 2018;Los Angeles Clippers;118;Washington Wizards;125;
Wed Nov 21 2018;Toronto Raptors;124;Atlanta Hawks;108;
Wed Nov 21 2018;New York Knicks;117;Boston Celtics;109;
Wed Nov 21 2018;Phoenix Suns;116;Chicago Bulls;124;
Wed Nov 21 2018;Indiana Pacers;109;Charlotte Hornets;127;
Wed Nov 21 2018;Los Angeles Lakers;109;Cleveland Cavaliers;105;
Wed Nov 21 2018;Brooklyn Nets;113;Dallas Mavericks;119;
Wed Nov 21 2018;Oklahoma City Thunder;123;Golden State Warriors;95;
Wed Nov 21 2018;Detroit Pistons;124;Houston Rockets;126;
Wed Nov 21 2018;Portland Trail Blazers;100;Milwaukee Bucks;143;
Wed Nov 21 2018;Denver Nuggets;103;Minnesota Timberwolves;101;
Wed Nov 21 2018;New Orleans Pelicans;120;Philadelphia 76ers;121;
Wed Nov 21 2018;Memphis Grizzlies;104;San Antonio Spurs;103;
Wed Nov 21 2018;Sacramento Kings;119;Utah Jazz;110;
Fri Nov 23 2018;Boston Celtics;114;Atlanta Hawks;96;
Fri Nov 23 2018;Minnesota Timberwolves;112;Brooklyn Nets;102;
Fri Nov 23 2018;Miami Heat;103;Chicago Bulls;96;
Fri Nov 23 2018;Orlando Magic;87;Denver Nuggets;112;
Fri Nov 23 2018;Houston Rockets;111;Detroit Pistons;116;OT
Fri Nov 23 2018;Portland Trail Blazers;97;Golden State Warriors;125;
Fri Nov 23 2018;San Antonio Spurs;111;Indiana Pacers;100;
Fri Nov 23 2018;Memphis Grizzlies;107;Los Angeles Clippers;112;OT
Fri Nov 23 2018;Utah Jazz;83;Los Angeles Lakers;90;
Fri Nov 23 2018;Phoenix Suns;116;Milwaukee Bucks;114;
Fri Nov 23 2018;New Orleans Pelicans;109;New York Knicks;114;
Fri Nov 23 2018;Charlotte Hornets;104;Oklahoma City Thunder;109;
Fri Nov 23 2018;Cleveland Cavaliers;121;Philadelphia 76ers;112;
Fri Nov 23 2018;Washington Wizards;107;Toronto Raptors;125;
Sat Nov 24 2018;Houston Rockets;108;Cleveland Cavaliers;117;
Sat Nov 24 2018;Boston Celtics;104;Dallas Mavericks;113;
Sat Nov 24 2018;Sacramento Kings;116;Golden State Warriors;117;
Sat Nov 24 2018;San Antonio Spurs;129;Milwaukee Bucks;135;
Sat Nov 24 2018;Chicago Bulls;96;Minnesota Timberwolves;111;
Sat Nov 24 2018;Denver Nuggets;105;Oklahoma City Thunder;98;
Sat Nov 24 2018;New Orleans Pelicans;114;Washington Wizards;124;
Sun Nov 25 2018;Charlotte Hornets;123;Atlanta Hawks;124;
Sun Nov 25 2018;Philadelphia 76ers;127;Brooklyn Nets;125;
Sun Nov 25 2018;Phoenix Suns;107;Detroit Pistons;118;
Sun Nov 25 2018;Orlando Magic;108;Los Angeles Lakers;104;
Sun Nov 25 2018;New York Knicks;103;Memphis Grizzlies;98;
Sun Nov 25 2018;Los Angeles Clippers;104;Portland Trail Blazers;100;
Sun Nov 25 2018;Utah Jazz;133;Sacramento Kings;112;
Sun Nov 25 2018;Miami Heat;115;Toronto Raptors;125;
Mon Nov 26 2018;San Antonio Spurs;108;Chicago Bulls;107;
Mon Nov 26 2018;Milwaukee Bucks;107;Charlotte Hornets;110;
Mon Nov 26 2018;Minnesota Timberwolves;102;Cleveland Cavaliers;95;
Mon Nov 26 2018;Orlando Magic;110;Golden State Warriors;116;
Mon Nov 26 2018;Boston Celtics;124;New Orleans Pelicans;107;
Mon Nov 26 2018;Indiana Pacers;121;Utah Jazz;88;
Mon Nov 26 2018;Houston Rockets;131;Washington Wizards;135;OT
Tue Nov 27 2018;Los Angeles Lakers;85;Denver Nuggets;117;
Tue Nov 27 2018;New York Knicks;108;Detroit Pistons;115;
Tue Nov 27 2018;Toronto Raptors;122;Memphis Grizzlies;114;
Tue Nov 27 2018;Atlanta Hawks;115;Miami Heat;113;
Tue Nov 27 2018;Indiana Pacers;109;Phoenix Suns;104;
Wed Nov 28 2018;Utah Jazz;101;Brooklyn Nets;91;
Wed Nov 28 2018;Atlanta Hawks;94;Charlotte Hornets;108;
Wed Nov 28 2018;Dallas Mavericks;128;Houston Rockets;108;
Wed Nov 28 2018;Phoenix Suns;99;Los Angeles Clippers;115;
Wed Nov 28 2018;Chicago Bulls;113;Milwaukee Bucks;116;
Wed Nov 28 2018;San Antonio Spurs;89;Minnesota Timberwolves;128;
Wed Nov 28 2018;Washington Wizards;104;New Orleans Pelicans;125;
Wed Nov 28 2018;Cleveland Cavaliers;83;Oklahoma City Thunder;100;
Wed Nov 28 2018;New York Knicks;91;Philadelphia 76ers;117;
Wed Nov 28 2018;Orlando Magic;112;Portland Trail Blazers;115;
Thu Nov 29 2018;Indiana Pacers;96;Los Angeles Lakers;104;
Thu Nov 29 2018;Los Angeles Clippers;133;Sacramento Kings;121;
Thu Nov 29 2018;Golden State Warriors;128;Toronto Raptors;131;OT
Fri Nov 30 2018;Cleveland Cavaliers;95;Boston Celtics;128;
Fri Nov 30 2018;Memphis Grizzlies;131;Brooklyn Nets;125;2OT
Fri Nov 30 2018;Utah Jazz;119;Charlotte Hornets;111;
Fri Nov 30 2018;Chicago Bulls;88;Detroit Pistons;107;
Fri Nov 30 2018;Dallas Mavericks;103;Los Angeles Lakers;114;
Fri Nov 30 2018;New Orleans Pelicans;101;Miami Heat;106;
Fri Nov 30 2018;Atlanta Hawks;109;Oklahoma City Thunder;124;
Fri Nov 30 2018;Washington Wizards;98;Philadelphia 76ers;123;
Fri Nov 30 2018;Orlando Magic;99;Phoenix Suns;85;
Fri Nov 30 2018;Denver Nuggets;113;Portland Trail Blazers;112;
Fri Nov 30 2018;Houston Rockets;136;San Antonio Spurs;105;
Sat Dec 1 2018;Toronto Raptors;106;Cleveland Cavaliers;95;
Sat Dec 1 2018;Golden State Warriors;102;Detroit Pistons;111;
